news_index,nyt_txt,country
2,u s helicopters sink 3 houthi boats in red sea pentagon says iranian backed houthi gunmen from yemen had fired on american helicopters responding to an attack on a commercial ship american officials said,yemen
3,in times square hundreds of thousands ring in 2024 new year s celebrations took place as protesters against the israel hamas war staged demonstrations in midtown manhattan,palestine
38,israel says it will pull several brigades from gaza strip analysts say the announcement could signal a shift to the more limited and targeted war against hamas that the united states has been urging,palestine
48,a gaza mayor s view of the conflict readers discuss a guest essay about the war s toll in gaza also western businesses in russia abortion pill case dogs and social media,palestine
106,my second trip to gaza was as a hostage i will never return an israeli woman kidnapped in the oct 7 attack on israel by hamas recalls a visit to the gaza strip in another lifetime,palestine
121,the twin fronts in the battle over israel s identity monday s court ruling joined the war in gaza in a widening crisis over what kind of state israel will be,palestine
137,top hamas official is killed in lebanon as fears grow of a wider war the israeli government would not comment on the death of saleh al arouri but a u s official said to expect israel to assassinate hamas officials for years,palestine
144,who was saleh al arouri the senior hamas leader killed in beirut the hamas deputy who the group said had been killed helped usher in closer ties with the iran backed hezbollah militia and was accused of masterminding attacks in israel,palestine
144,who was saleh al arouri the senior hamas leader killed in beirut the hamas deputy who the group said had been killed helped usher in closer ties with the iran backed hezbollah militia and was accused of masterminding attacks in israel,lebanon
157,wednesday briefing beirut blast kills senior hamas leader plus the great winter festivals of asia,palestine
160,netanyahu allies signal pause in campaign to rein in judges with israel fighting in gaza people on both sides of the judiciary debate appear unwilling to return to the domestic upheaval that preceded the war,palestine
161,who is alan garber harvard s interim president dr garber is an economist and physician who told the harvard crimson that he regretted the university s initial statement in response to the israel hamas war,palestine
166,harvard s president resigned after plagiarism accusations also a senior hamas leader was killed in beirut here s the latest at the end of tuesday,palestine
171,hamas used gaza hospital as a command center u s intelligence says israeli forces stormed the site in november drawing intense international scrutiny and criticism,palestine
181,wednesday briefing the killing of a hamas leader,palestine
184,hamas blames israel for the death of a senior official in lebanon israel and the surrounding region were on edge wednesday a day after the assassination of a top hamas leader in lebanon heightened worries that the war in gaza could spill over into a broader conflict,palestine
224,top hamas official is killed and harvard president resigns hear the news in five minutes,palestine
225,the new campus politics the resignation of harvard s president shows how the hamas attacks have scrambled campus politics,palestine
226,al arouri s killing is a blow to hamas though likely not a debilitating one analysts say the killing of saleh al arouri deprives hamas of one of its most skilled tacticians who helped route money and weapons to its operatives in gaza and elsewhere in the middle east and integrated the group more tightly into iran s network of forces committed to fighting israel according to analysts,palestine
245,leader s killing is a blow but not a knockout for hamas the killing of saleh al arouri a key hamas strategist in lebanon sets the organization back at a vulnerable time the group has rebuilt after the assassination of other leaders though,palestine
279,israel says it dismantled a hamas built tunnel under a gaza hospital the israeli military says the tearing down was done in november and that hospital wasn t damaged in the process,palestine
287,hezbollah s leader pledges revenge for killing of a hamas leader in beirut yesterday s crime will not go unpunished hassan nasrallah warned ominously but he gave no specifics saying he would speak again on friday,lebanon
287,hezbollah s leader pledges revenge for killing of a hamas leader in beirut yesterday s crime will not go unpunished hassan nasrallah warned ominously but he gave no specifics saying he would speak again on friday,palestine
295,attacks heighten fears of a wider war for the middle east and u s the killing of a top hamas leader in lebanon and mysterious twin explosions in iran heighten fears of a regional war that could draw in the united states,palestine
302,israelis worry a blow against hamas may bring blowback israelis welcomed news that a top palestinian militant had been killed but feared that it might impede the release of hostages and kindle a broader war,palestine
445,towns empty and farms languish as war stalks israeli lebanese border more than 150 000 people have been driven from their homes on both sides of the frontier as israeli forces clash with hezbollah militants,lebanon
464,the u s secretary of state begins a mideast trip amid worries of broader conflict secretary of state antony j blinken was set on friday to begin a diplomatic tour through the middle east as the biden administration seeks to defuse tensions in the region where fears are growing that the war in gaza could spiral into a broader conflict,palestine
471,residents near israel lebanon border live with uncertainty as the conflict between israel and hezbollah escalates some israeli residents are making trips back to their homes along the border with lebanon despite orders to stay away while others wait with uncertainty,lebanon
476,a palestinian man vanished oct 7 his family wants to know who killed him soheib abu amar who lived in east jerusalem was captured by hamas during its attack on israel his brothers spent weeks investigating what happened next,palestine
529,bring them home families of american hostages in gaza release tv ad the 30 second spot is set to air on cable channels and during sunday network news programs in the united states for the next several weeks,palestine
549,hezbollah s leader says it would not negotiate peace with israel until war in gaza ends in a televised speech hassan nasrallah addressed israeli citizens directly warning that they will be the first to pay the price unless the military action stops,lebanon
549,hezbollah s leader says it would not negotiate peace with israel until war in gaza ends in a televised speech hassan nasrallah addressed israeli citizens directly warning that they will be the first to pay the price unless the military action stops,palestine
598,as pressure mounts israeli minister proposes plan for postwar gaza the plan exposed divisions in israel s war cabinet as secretary of state antony j blinken returned to the middle east on friday in an effort to ease escalating tensions,palestine
619,as gaza losses mount under strikes dignified burials are another casualty the lucky are those who have someone to bury them when they die dr mohammad abu moussa a radiologist at one gaza hospital said of those killed by israeli airstrikes,palestine
637,in frothy awards season what role will israel hamas war play stars are increasingly vocal about political issues but the mideast conflict has divided hollywood magnifying the choice of whether to discuss the topic or remain silent,palestine
640,hezbollah fires rockets at israel in response to killing in beirut israel said it had fired back at militants involved in the rocket launches but the exchange stopped short of a major escalation,lebanon
676,dignified burials have become another casualty in gaza for four days kareem sabawi s body lay wrapped in a blanket in a cold empty apartment as his family sheltered nearby he was killed during intense israeli bombardment near his family home his father and mother said and in the days that followed it was too dangerous to step outside and lay their 10 year old child to rest,palestine
692,war brings tensions and assault rifles into an israeli college at the university of haifa more than 40 percent of students are arab some with family in gaza and many others have now been called up as soldiers,palestine
710,two more journalists killed in gaza including son of al jazeera reporter hamza al dahdouh the son of al jazeera s gaza bureau chief and a second reporter were killed in what officials in the territory said was an israeli airstrike two others were wounded,palestine
726,as west bank violence rises israel vows to pursue military goals in gaza diplomats toured the mideast sunday on a mission to stop the war from widening but tensions in the gaza strip spread across the region,palestine
792,blinken says saudi arabia remains interested in diplomatic ties with israel the u s secretary of state on a trip to the middle east that included a meeting with the saudi crown prince said such a move would require an end to fighting in gaza and steps toward a palestinian state,palestine
807,pro palestinian demonstrators block n y bridge and tunnel traffic hundreds of demonstrators protesting israel s bombardment of gaza blocked the manhattan entrance to the holland tunnel and disrupted traffic on three major bridges,palestine
813,israel says its military is starting to shift to a more targeted gaza campaign israeli officials privately say that they hope to complete the transition by the end of january but that the timeline could change,palestine
814,tiktok quietly curtails data tool used by critics people and groups had harnessed the tool to scrutinize content on the site related to the israel hamas war and other topics,palestine
825,protesters calling for gaza cease fire interrupt biden speech a group of protesters chanted cease fire now biden supporters countered with four more years,palestine
843,here s what to know about hezbollah s radwan force the elite unit of the lebanese armed group lost a commander in a strike on monday,lebanon
865,israeli strikes in lebanon kill hezbollah commander militia says the latest strikes across israel s northern border came as the u s secretary of state made another trip to the middle east in efforts to prevent a wider war,lebanon
873,tuesday briefing israel s next phase of the war in gaza,palestine
909,the hard truth of israel s endgame in gaza peter beinart warns that the country is committing a sin that cannot be atoned for,palestine
